filename,node_count,edge_count
0xb151537e9df65d39b7d9b5e2f67ce6fa816fefe41f03d9998eee2338c282af9b.json,8024,6823
0x307303eb74c2ff47b7edbabf348da07946f32617a21d4b1df2c8cdabd9f62c1b.json,579,534
0xec02ffba2dbe706be790cb7d86fe6e9eac9c090ed436907bafef76b98b2a2dca.json,1117,859
0x99cc992de6e42a0817713489aeeb21f2d5e5fdca1f833826be09a9f35e5654e3.json,6456,5391
0xf1dce75753f10c51bc58ccd78d5b5099d09a22a2b03062ea3699c0785f6ce709.json,5308,4653
0x1886da396650f668999fd21b0ad269599b64193fd7eaba56cffbbdb68e712d69.json,864,783
0x50dc9c9126519a70319cc312418488145bed4e2ef6e110eb864a97f5beaeca05.json,6561,5805
0xda57ce2dc51ca7a04c797b06cb39842017da23242bc4836009fb7db293c4a253.json,1951,1460
0xa078f866085f7009ae7f097dbaa5ee688ff122aacfb2d0c9a251f4452f97e88d.json,624,548
0x39982143e4c82fc1686948b4ccc50135256329b105f95e22abbe224134ee6a7d.json,1542,1254
0x94b071359c8432a0d6d8a5e5970698946bcc47ed8a37e470f339528aa5753ecc.json,1174,941
0x0d069184cbc6ae1093504be721c36b731e40b0d040f9611ff2c5838ec64ab150.json,1836,1630
0x470a86e00f9cf0344f503b05cbcc90e04bb922f667cfb99fd31ff99825f626ba.json,5175,4084
0x892503709f0b2de693de71bd6eea8b9c67952bb8d1bb8b9ba9307db92ff46c6f.json,814,818
0xae03b08f220e5d7750e97e67ea85ac6e69649f6fd6d8324434f341e094cef43d.json,6788,5383
0x21a8e6bb88dcb1acd529b5df02cbed6a6bc8e17193a841df01877ee346d347ce.json,2030,1634
0x5078c0303f793f9e909ce365d5e1d707c2972814e0ba41aaefef15626fab23a2.json,1284,1111
0x4434f1bc86b5daecf549b22ca9b160776329dbc616070ba2e398fecaaf946ae3.json,616,573
0x0d700a669a17feab0791e3d4098960cae48026391391362fffa54c9ff676339a.json,4263,3398
0x64af76be60980e7c2fd8f356c83c95ad652ab32e267299760f3e37e8e95f893e.json,4338,3809
0x6d11803ef4a69fc9c4661931dc5fe2ecdf8add74766f81f945ffb7f9539bdcdd.json,7808,6858
0x3805ec55c44c62630449f178851dbe6ff4e22d18aad7db55c1cbc57dc6b30be7.json,2213,2001
0xfac1fad1e1efacd46e24f3d199a913bb6364d5237dd7efa80c3268b3ab0eb9c4.json,2212,2000
0x193016ce1ed6c7ec6377efd89309f7415c21190619b8e1fe625a6cdcca4f5ba5.json,6238,5652
0xa0dd10918860b2a144682c7dee77be3f3d174c09ab5a6b0c96842e4d16b4f152.json,472,455
0x9ae5ddabc94e6bb3eaaa49a56fa332c43fb1d5c5d79bfa24177b359e60bcb2d2.json,1469,1131
0xca1bbf3b320662c89232006f1ec6624b56242850f07e0f1dadbe4f69ba0d6ac3.json,993,848
0x1d6e1dda9fff4ab6075518f3b3b9a9ec3ce9d005eb97151e07ce0ff75727a0ad.json,2485,2232
0x6df15b3bf2926c6856d222d512f2d4fd5858312ea8380813e60cdd6b19d18825.json,1029,760
0xfd92e015cf8d68361c23ba8fe0c359c6541c7af73f51def90613f10ef39f3ce7.json,1674,1551
0xbd8bd456057f5123b09031ef571e5c1c7caed1378acc30175a864d9859a3c1f8.json,83,76
0x316f42c37c4707b7647d029367050b3a1bc5e3d2e0707f5232c09dab5c2e0dfb.json,1089,910
0xfb7890cbbab669e40ba0d06af2f162d96cdf210b52f55f5b30ba698b911d295d.json,616,573
0x433a626851506503ab496c45a24715e5a92a1433bef9c6f02ca22712de0302d9.json,1431,1236
