Defi platform,chain browser,adversarial contracts,interval time,reason,loss
URANIUM FINANCE,bscscan,0x2b528a28451e9853f51616f3b0f6d82af8bea6ae,00:20:24,Miscalculation,50000000
MetaPoint,bscscan,0xc6E451C8Fa3418b703121AC23e44803D143c5d5c,00:20:29,access control,820000
YEARN,etherscan,0x8102Ae88C617deb2A5471CAc90418Da4Ccd0579e,00:20:48,Misconfiguration,10000000
MONOX,etherscan,0xf079d7911c13369E7fd85607970036D2883aFcfD,0:22:13,Price Manipulation,31000000
ALPHA FINANCE,etherscan,0x560A8E3B79d23b0A525E15C6F3486c6A293DDAd2,00:22:26,flashloan,37500000
RFB,bscscan,0xd5de2914bc6d2f005228a04289e8d518c710a049,00:22:36,Predicting Random Numbers,7200
WINTERMUTE,etherscan,0x0248F752802B2cfB4373cc0c3bC3964429385c26,00:22:48,Signature replay,62000000
TRANSIT SWAP,etherscan,0x17ff6c94ba3a49c72ef2f10782de8a6152f204ea,0:26:36, Incorrect owner address validation,21000000
Kashi,etherscan,0x8c761066Bc6c20e9c65eCe9972A9EB6Ed511Fd4d,00:27:36,Price-caching Design Defect,110000
REVEST FINANCE,etherscan,0xb480Ac726528D1c195cD3bb32F19C92E8d928519,00:31:41,Reentrancy,11200000
CREAM FINANCE,etherscan,0x38c40427efbAAe566407e4CdE2A91947dF0bD22B,0:31:46,Flashloan Attack + Reentrancy,130000000
CREAM FINANCE02,etherscan,0x961D2B694D9097f35cfFfa363eF98823928a330d,00:31:46,Price Manipulation,18000000
BELT,bscscan,0x4eb362934d56f2669a712cb92d316cd465921b5d,0:34:24,flashloan,6300000
PANCAKEBUNNY,bscscan,0xcc598232a75fb1b361510bce4ca39d7bc39cf498,00:49:00,,
RARI CAPITAL,etherscan,0x2f755e8980f0c2E81681D82CCCd1a4BD5b4D5D46,00:50:41,Cross Contract Reentrancy,80000000
Nmbplatform,bscscan,0xd9ca1023a876b15391359237e848c7329f1004f0,00:53:44,FlashLoan price manipulation,
Nmbplatform,bscscan,0x3c4e5b099f3c02122079d124138377e1b9048629,00:53:44,FlashLoan price manipulation,76000
Rikkei Finance,bscscan,0xe6DF12a9f33605F2271D2a2DdC92E509E54E6b5F,01:01:28,Access control,1100000
TEAM FINANCE,etherscan,0xCFF07C4e6aa9E2fEc04DAaF5f41d1b10f3adAdF4,1:06:48,Liquidity Migration Exploit,15800000
FEI RARI,etherscan,0xE39f3C40966DF56c69AA508D8AD459E77B8a2bc1,01:09:52,Flashloan Attack + Reentrancy,
Primitive Finance,etherscan,0x230e9536872D0b19f593c26Aa416B954a6fB6692,01:21:11,Reentrancy,1000000
INVERSE FINANCE2,etherscan,0xeA0c959BBb7476DDD6cD4204bDee82b790AA1562,01:22:05,price manipulation,1260000
THORCHAIN2,etherscan,0x4A33862042D004D3fc45E284E1aaFa05B48e3c9C,1:25:16,,8000000
POPSICLE FINANCE,etherscan,0xdFb6faB7f4bc9512d5620e679E90D1C91C4EAdE6,01:40:42,business logic flaw,20000000
YEARN,etherscan,0x9Fcc1409B56Cf235D9CdbbB86b6AD5089fA0EB0F,01:44:12,,
UPSToken,etherscan,0x762d2A9f065304D42289f3f13Cc8EA23226d3b8C,1:59:24,business logic flaw,38500
Uniswap ,etherscan,0xBD2250D713bf98b7E00c26E2907370aD30f0891a,02:44:31,reentrancy,220000
Biswap,bscscan,0x1d448e9661c5abfc732ea81330c6439b0aa449b5,02:44:50,V3Migrator Exploit,72000
pSeudoEth,etherscan,0xf88D1D6D9DB9A39Dbbfc4B101CECc495bB0636F8,02:52:36,Pool manipulation,2300
BEARN,bscscan,0xef39f14213714001456e2e89eddbdf8c850c3be6,03:45:54,,769000
THORCHAIN,etherscan,0x700196E226283671a3de6704EBCdb37a76658805,05:49:25,,8000000
INDEXED FINANCE,etherscan,0xfbC2e6B188013fC5eacd9944e6b8cEd2C467464A,06:09:20,Price Manipulation,16000000
PUNK PROTOCOL,etherscan,0x1695CE70DA4521Cb94DEA036e6ebCf1E8a073ee6,09:34:26,business logic flaw,8950000
LW,bscscan,0xa4fbc2c95ac4240277313bf3f810c54309dfcd6c,10:24:15,FlashLoan Price Manipulation,50000
Yearn Finance,etherscan,0x62494b3ed9663334E57f23532155eA0575C487C5,10:30:10,Slippage proection absent,2700000
QTNToken,etherscan,0xA33c965Ca6D3bdc42BDb23a79081757090eb7700,10:37:00,business logic flaw,3600
SNK,bscscan,0xc04c4914d14225345f1678a705a69aa5636b3a33,20:08:10,Reward Calculation Error,197000
FURUCOMBO,etherscan,0x86765dde9304bEa32f65330d266155c4fA0C4F04,26:49:32,business loigic flaw,14000000
MEV,etherscan,0x6554FF0f2B6613Bb2baa9A45788AD8574a805f6d,31:55:12,Badc0de,282000
BXH,bscscan,0x4e77df7b9cdcecec4115e59546f3eacba095a89f,52:22:57,Flashloan & Price Oracle Manipulation,40305
VTF Token,bscscan,0x450595e4a42cc08c14091b08dbab654a68b0a877,53:19:18,Incorrect Reward calculation,50000
Curve,etherscan,0x9420F8821aB4609Ad9FA514f8D2F5344C3c0A6Ab,54:32:48,Vyper Compiler Bug && Reentrancy,
ROLL,etherscan,0xeaA86ddd49D8907c939413e92888536E4587Bd9A,100:55:58,private key,5246500
LEVEL FINANCE,bscscan,0xf08a01D2CaCE301aE69f07aF5fdFb2336da2F629,172:07:09,Business Logic Flaw,1100000
Ragnarok,bscscan,0xdfc372577482eb1b45ff6402f7a68bbd98b85bba,205:34:08,Broken Access Control,44000
BabyDogeCoin,bscscan,0x9a6b926281b0c7bc4f775e81f42b13eda9c1c98e,218:55:41,Lack Slippage Protection,135000
EFLeverVault,etherscan,0x140ccA423081ed0366765F18fC9f5Ed299699388,409:03:48,Verify flashLoan Callback,1350000
ElasticSwap,etherscan,0xE911519dc7f35996C6ad5C8A53e82B101af790d6,411:48:36,Business Logic Flaw,845000
UN,bscscan,0x98e241bd3be918e0d927af81b430be00d86b04f9,501:34:22,Price Manipulation,26000
TIFIToken,bscscan,0xbec576e2e3552f9a1751db6a4f02e224ce216ac1,639:37:16,FlashLoan price manipulation,47850
YEARN,etherscan,0x63B6CE082EBC08fdE7F270BEAb3377Ac7bd135Af,lack function call information,Misconfiguration,
ARA,bscscan,0x98e241bd3be918e0d927af81b430be00d86b04f9,lack contract create block information,,125000
